Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
56,2019-08-18,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.292,0.349,0.47,0.819,18,1.48,-0.51,0.007
57,2019-08-20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.291,0.349,0.468,0.816,11,0.44,-0.59,-0.036
58,2019-08-22,1,1,0,0,1,4,2,0,0,0,0,0,1,0,0,0,0.29,0.347,0.472,0.819,14,1.12,-0.16,-0.012
59,2019-08-23,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0.292,0.348,0.472,0.82,15,1.21,0.0,0.02
60,2019-08-24,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.292,0.348,0.473,0.821,13,0.74,0.64,0.042
61,2019-08-25,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.293,0.35,0.473,0.823,14,1.04,0.65,0.093
62,2019-08-27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.291,0.347,0.469,0.816,8,0.62,-1.28,-0.066
63,2019-08-28,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.29,0.347,0.469,0.816,11,1.04,-0.71,-0.016
64,2019-08-30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.288,0.344,0.465,0.809,13,0.77,-0.99,-0.086
65,2019-08-31,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.286,0.343,0.462,0.805,19,1.61,-0.87,-0.1
66,2019-09-01,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.286,0.342,0.463,0.805,12,0.61,0.09,0.006
67,2019-09-03,1,1,1,0,0,2,1,0,0,0,0,0,4,0,0,0,0.285,0.341,0.462,0.803,18,1.55,0.04,-0.063
68,2019-09-06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.284,0.34,0.46,0.8,6,1.43,-0.72,-0.073
